IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
51.107.6.231,8443,443,true,MXP,Europe,Milan,150,3.68
51.107.6.138,8443,443,true,MXP,Europe,Milan,196,3.63
20.197.226.118,8443,0,true,GRU,South America,São Paulo,337,3.50
20.203.143.112,2083,80,false,MXP,Europe,Milan,150,3.19
20.203.143.114,2087,80,false,MXP,Europe,Milan,150,3.13
20.203.143.112,2087,80,false,MXP,Europe,Milan,149,3.13
20.203.143.117,2082,80,false,MXP,Europe,Milan,151,3.12
20.203.143.112,2086,80,false,MXP,Europe,Milan,149,3.12
20.203.143.112,2052,80,false,MXP,Europe,Milan,149,3.12
20.203.143.112,2082,80,false,MXP,Europe,Milan,149,3.11
20.203.143.114,2053,80,false,MXP,Europe,Milan,149,3.11
20.203.143.112,2096,80,false,MXP,Europe,Milan,149,3.09
20.203.143.117,2052,80,false,MXP,Europe,Milan,149,3.07
20.203.143.114,2095,80,false,MXP,Europe,Milan,149,3.06
20.203.143.114,2086,80,false,MXP,Europe,Milan,151,3.06
20.203.143.117,2087,80,false,MXP,Europe,Milan,150,3.02
20.203.143.117,2096,80,false,MXP,Europe,Milan,149,3.01
20.203.143.114,2096,80,false,MXP,Europe,Milan,151,3.00
20.203.143.114,2082,80,false,MXP,Europe,Milan,150,2.98
20.203.143.112,2095,80,false,MXP,Europe,Milan,151,2.95
51.107.13.85,8443,443,true,MXP,Europe,Milan,184,2.94
20.203.143.114,2083,80,false,MXP,Europe,Milan,150,2.86
20.203.143.117,2086,80,false,MXP,Europe,Milan,150,2.85
20.203.143.117,2053,80,false,MXP,Europe,Milan,151,2.85
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,175,2.66
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,173,2.66
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,174,2.63
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,174,2.60
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,175,2.60
51.107.211.177,2053,80,false,CPH,Europe,Copenhagen,175,2.59
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,173,2.57
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,174,2.57
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,180,2.57
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,189,2.57
51.107.211.178,2086,80,false,CPH,Europe,Copenhagen,173,2.56
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,173,2.56
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,174,2.55
20.203.143.112,2053,80,false,MXP,Europe,Milan,150,2.55
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,173,2.54
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,177,2.54
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,173,2.52
52.187.35.233,80,0,false,SIN,Asia Pacific,Singapore,2,0.75
51.120.5.60,80,0,false,CPH,Europe,Copenhagen,174,0.27
20.243.87.182,80,0,false,NRT,Asia Pacific,Tokyo,67,0.19
20.46.125.42,80,0,false,NRT,Asia Pacific,Tokyo,67,0.18
51.11.142.112,80,0,false,LHR,Europe,London,156,0.17
20.157.120.71,80,0,false,LHR,Europe,London,155,0.14
51.116.109.243,80,0,false,FRA,Europe,Frankfurt,159,0.08
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,48,0.07
20.2.87.94,80,0,false,HKG,Asia Pacific,Hong Kong,39,0.05
20.102.24.191,80,0,false,IAD,North America,Ashburn,223,0.05
20.46.53.222,80,0,false,BOM,Asia Pacific,Mumbai,81,0.05
20.2.87.94,443,0,false,HKG,Asia Pacific,Hong Kong,33,0.05
20.86.52.80,80,0,false,AMS,Europe,Amsterdam,157,0.04
20.81.104.97,80,443,false,IAD,North America,Ashburn,224,0.02
40.83.203.12,80,0,false,SJC,North America,San Jose,169,0.01
52.236.148.143,80,0,false,AMS,Europe,Amsterdam,157,0.01
20.240.40.44,80,0,false,CPH,Europe,Copenhagen,177,0.00
20.18.32.188,80,0,false,NRT,Asia Pacific,Tokyo,69,0.00
20.18.32.188,8080,0,false,NRT,Asia Pacific,Tokyo,69,0.00
20.18.32.188,443,0,false,NRT,Asia Pacific,Tokyo,78,0.00
74.226.216.102,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.255.185.230,80,0,false,HKG,Asia Pacific,Hong Kong,32,0.00
20.118.131.247,80,0,false,LAX,North America,Los Angeles,174,0.00
20.243.248.205,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.230.159.201,80,0,false,SEA,North America,Seattle,161,0.00
20.55.38.130,80,0,false,IAD,North America,Ashburn,222,0.00
20.121.139.153,80,0,false,IAD,North America,Ashburn,224,0.00
4.227.245.157,8080,0,false,IAD,North America,Ashburn,227,0.00
4.227.214.97,80,0,false,IAD,North America,Ashburn,220,0.00
20.230.56.138,80,0,false,IAD,North America,Ashburn,220,0.00
40.87.80.77,80,0,false,IAD,North America,Ashburn,225,0.00
52.245.249.122,80,0,false,IAD,North America,Ashburn,224,0.00
4.216.236.188,80,0,false,NRT,Asia Pacific,Tokyo,118,0.00
20.222.251.148,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
104.208.71.2,80,0,false,HKG,Asia Pacific,Hong Kong,36,0.00
20.193.145.135,80,0,false,SIN,Asia Pacific,Singapore,48,0.00
40.115.253.187,80,0,false,NRT,Asia Pacific,Tokyo,68,0.00
20.70.120.90,80,0,false,SYD,Oceania,Sydney,85,0.00
20.37.207.8,8080,80,false,SYD,Oceania,Sydney,87,0.00
20.213.13.247,80,0,false,SYD,Oceania,Sydney,88,0.00
52.143.148.63,80,0,false,CDG,Europe,Paris,149,0.00
104.40.244.228,443,443,true,AMS,Europe,Amsterdam,155,0.00
20.8.170.89,80,0,false,AMS,Europe,Amsterdam,156,0.00
13.66.189.79,80,0,false,SEA,North America,Seattle,161,0.00
20.218.125.181,443,443,true,FRA,Europe,Frankfurt,162,0.00
172.167.242.53,80,0,false,LHR,Europe,London,164,0.00
20.157.97.105,80,80,false,AMS,Europe,Amsterdam,165,0.00
137.116.251.154,80,0,false,DUB,Europe,Dublin,166,0.00
20.245.7.79,443,443,true,SJC,North America,San Jose,173,0.00
20.157.97.105,443,0,true,AMS,Europe,Amsterdam,185,0.00
20.157.97.104,80,80,false,AMS,Europe,Amsterdam,198,0.00
20.104.218.53,80,0,false,YYZ,North America,Toronto,217,0.00
52.254.118.22,80,0,false,IAD,North America,Ashburn,220,0.00
20.200.126.106,8443,443,true,YYZ,North America,Toronto,220,0.00
4.255.56.137,443,443,true,IAD,North America,Ashburn,223,0.00
4.255.56.137,80,80,false,IAD,North America,Ashburn,225,0.00
20.172.220.126,80,0,false,IAD,North America,Ashburn,226,0.00
20.197.226.118,2053,0,true,GRU,South America,São Paulo,336,0.00
